,Company Name,Company Description,Company Address,Company Website,Company tel Number,Company Emails,Company linkedIn,Comapany Address
80,F2A,F2A contributes to the protection of personnel and equipment with dedicated solutions meeting high safety and reliabiliy requirements for On-shore and Off-shore applications.,Stand: 1S20,https://www.f2a.fr/en/,+33481659556,mailto:oilandgas@f2a.fr,https://www.linkedin.com/company/f2a,ZONE D ACTIVITE DE DAGNEUX
81,Federal-Mogul DEVA GmbH,No Data,Stand: 3E91,No Data,No data,No Data,No Data,Schulstraße 20
82,Fife Council,There will be 8 Fife businesses representing the InvestFife Stand to help showcase why #FifeMeansBusiness,Stand: 2M20,https://www.investfife.co.uk/,No data,mailto:fifemeansbusiness@fife.gov.uk,https://www.linkedin.com/company/invest-fife,Fife House
83,Film-Ocean (ROV Services),"Film-Ocean provides ROV inspection and intervention services. We specialise in providing innovative, cost effective, subsea solutions to the global offshore energy industry using our fleet of industry leading ROV assets. We have an extensive track record in performing IRM projects using our versatile fleet of ROV’s, with a range of deployment options to suit either platform/asset based or ROV support vessel operations. Our highly experienced management team and project management personnel is in place to ensure Film-Ocean deliver projects in a safe, efficient and effective manner.",Stand: 1Q48,https://www.film-ocean.com/,+44 (0)1358 575000,mailto:enquiries@film-ocean.com,https://www.linkedin.com/company/film-ocean/,Film Ocean
84,FLIR Systems Trading Belgium BV,"Our cameras allow you to visualize leaks and begin repairs immediately saving time, money and provide safety. Teledyne FLIR is the market and thought leader with models fitting every budget.",Stand: 2L84,https://ww.teledyneflir.com/,+ 44 7921 699869,mailto:steve.beynon@teledyneflir.com,https://www.linkedin.com/company/flir-systems,FLIR Systems
85,Flowhire Ltd (&Precision Pump and Metering Ltd),"Flowhire have been the UK's leading supplier of flowmeter hire and complete metering systems to the Oil and Gas Industry in Aberdeen for 20 years. Our stock includes a wide range of industrial flowmeters suitable for air, gas, steam and liquids",Stand: 3H59,http://www.flowhire.co.uk/,441422829930,mailto:info@flowquip.co.uk,https://www.linkedin.com/company/flowhire-ltd,Riverside
86,Fluenta Solutions Ltd,"Fluenta is a flare gas measurement specialist with over 30 years' experience. From temperature extremes, to difficult gas compositions, we have a range of flare measurement solutions to suit even the most complex installation.",Stand: 3H63,https://www.fluenta.com/,+47 21 02 19 25,mailto:info@fluenta.com,https://www.linkedin.com/company/fluenta-as,"Unit 8, Gransden Park,"
87,Forsyths Ltd,"Forsyths are committed to providing high quality bespoke fabrications, whilst meeting customers' requirements, aligned with our robust QHSE management systems throughout the company’s engineering and manufacturing operations",Stand: 1P30,http://www.forsyths.com/,441340831787,mailto:neil.grant@forsyths.com,No Data,Rothes
88,FourPhase,No Data,Stand: 2G86,No Data,No data,No Data,No Data,"35 Abercrombie Court, Westhill"
89,Frazer-Nash Consultancy,"Frazer-Nash is a leading systems and engineering technology company. We apply our expertise to develop, enhance and protect our clients’ critical assets, systems and processes; and work to add value across the oil and gas engineering lifecycle.",Stand: 3A42,http://www.fnc.co.uk/,441179226242,mailto:d.goodsell@fnc.co.uk,https://www.linkedin.com/company/68787,The Cube
90,Fuchs Lubricants (UK) Plc,"A global ‘single source’ lubricant supplier to offshore operators, FUCHS, the world’s largest independent lubricants company offers specialist products including Sub Sea Fluids, Doping and Jack Up Greases and bespoke support packages.",Stand: 1Q39,https://www.fuchs.com/uk/en/industries/n-z/offshore/,441782203700,mailto:contact-uk@fuchs.com,https://www.linkedin.com/company/fuchs-lubricants-uk-plc,New Century Street
91,Fugro,"Fugro, the world’s leading Geo-data specialist; We unlock insights from geodata, to help you design, build, operate and, ultimately decommission, your offshore assets safely and sustainably. Every day, and all over the world, our team of dedicated experts are working with clients to unlock insights from earth and infrastructure data. We acquire, analyse and advise on this data using cutting edge digital solutions providing an invaluable resource for our clients.",Stand: 2B40,https://www.fugro.com/,No data,mailto:events@fugro.com,https://www.linkedin.com/Fugro,Fugro House
92,Furuno UK,"Furuno is the largest manufacturer of marine radar equipment in the world with over 50% of all marine radar coming from our factories in Japan. We offer a worldwide sales and service network through our network of sister companies. At Offshore Europe Furuno UK Ltd will be demonstrating our ground breaking CARS system using cutting edge, digital, magnetron free, low maintenance radar systems and AIS to offer the best Collision avoidance system on the market.",Stand: 3A52,https://www.furuno.co.uk/,02392 441000,mailto:sales@furuno.co.uk,https://www.linkedin.com/in/Furuno-UK,South Breakwater
93,Gates Engineering & Services UK LTD,No Data,Stand: 1J38,No Data,No data,No Data,No Data,"Bassington Drive,"
94,Geodis FF United Kingdom Ltd,GEODIS Freight Forwarding provides a global network covering over 168 countries offering solutions for complex and oversized transport requirements for the Oil & Gas and Renewable industries.,Stand: 3G25,https://www.geodis.com/,+ 44 (0)1224 068032,mailto:aberdeen.ff.uk@geodis.com,https://www.linkedin.com/showcase/geodisff/,LHR1 - 145 Faggs Road
95,Gerotto Federico S.R.L,"Gerotto develops and produces a wide range of Robot Mini for industrial cleaning: which allows the use of suction technology to operate in particularly difficult contexts such as confined spaces and ATEX zones with a high risk of explosion and gas exhalation. The range of Mini Robot Excavators goes from models dedicated to underwater work, oil and gas sector, pipes, under conveyor belts, ATEX (Zone 0) certified solutions.",Stand: 1T40,https://www.gerotto.it/,+39 (049)5564422,mailto:info@gerotto.it,https://www.linkedin.com/company/gerottofedericosrl/,Via Croce 26
96,GISMA Steckverbinder GmbH,"GISMA Steckverbinder GmbH designs and produces high performance underwater connectors that are deployed deep sea down to 10.000 m. The actual production line comprises more than 14.000 different electrical, coaxial, fibre-optical, hybrid connectors and penetrators for Offshore, R&D, Renewables and defence applications. Connectors are available with up to 265 contacts, suiting to maximum current rating of 1.000 amps and 10.000 V working voltage.",Stand: 2M51,http://www.gisma-connectors.de/,494321983592,mailto:lux@gisma-connectors.de,https://www.linkedin.com/company/gisma-steckverbinder-gmbh?trk=public_profile_topcard-current-company,Leinestr. 25
97,Glacier Energy,"Glacier Energy is a leading international provider of specialist products, services, and engineering solutions for new and existing infrastructure. We operate in the Renewables, Oil, Gas, Refineries & Terminals, Industrial, Power Generation, Petrochemical and Subsea Markets. At the core Glacier Energy’s brand, is the company’s deep-rooted capability amassed through the acquisition of some of the most technical and reputable brands in the industry. We therefore provide heat transfer solutions, pressure vessel design and manufacture, NDT and inspection and machining and welding solutions.",Stand: 1W10,https://www.glacierenergy.com/,+44(0)1224 515517,mailto:info@glacierenergy.com,https://www.linkedin.com/company/glacier-energy/,"Unit 3, Peterseat Drive"
98,Glamox ASA,Glamox is the leading manufacturer of lighting solutions to the world’s marine and offshore markets. As a local partner with a strong global network Glamox can fulfill all Maritime and Hazardous Area lighting requirements.,Stand: 1L49,https://glamox.com/gmo,4771250400,mailto:info.glamox-international@glamox.com,No Data,Birger Hatlebakks veg 15
99,Glenair,"Glenair is a leading supplier of interconnect solutions to the Offshore and Subsea industries. We specialise in providing and developing harsh environment connectors, penetrators, cable assemblies, connector accessories, and sealed harnesses for a wide range of high-reliability applications.",Stand: 1P48,https://www.glenair.co.uk/,01623638100,mailto:sales@glenair.co.uk,No Data,40 Lower Oakham Way
100,Globus Group,"Globus Group is dedicated to developing innovative, high-performing, resilient and reliable PPE products for workers across multiple industrial sectors from construction to manufacturing, and from oil and gas to aerospace. For more than 25 years, Globus Group has been protecting people at work and empowering them to do their jobs safely and efficiently. The business is one of the world’s most creative manufacturers of global worker safety solutions, which includes a diverse range of market-leading brands, for respiratory, hand, eye, head and hearing protection as well as protective clothing.",Stand: 1X31,https://globusgroup.com/,+44 (0)161 877 4747,mailto:sales@globus.co.uk,https://www.linkedin.com/company/globus-ltd,"T2 Trafford Point, Twining Road, Trafford Park"
101,GMA Garnet (Europe) GmbH,GMA Garnet are the worlds largest supplier of Industrial Grade Garnet for all Waterjet and Surface Preparation Activities.,Stand: 3H70,No Data,No data,No Data,No Data,Hanseatic Trade Center
102,Newfoundland and Labrador,"Our service and supply industry has developed expertise in offshore exploration and production support. Solutions now, and for ensuing logistics, materials, consulting and environmental services.",Stand: 2E20,No Data,17097292533,mailto:bkendell@gov.nl.ca,https://www.linkedin.com/company-beta/991277/?origin=GLOBAL_SEARCH_HEADER,Department of Natural Resources
103,Hanson Springs Ltd,Quality! Availability! Great Prices! Hanson Springs are well known world-wide after nearly 60 years of business. 17 tonnes of springs are delivered EACH DAY throughout the world. Can we help YOU?,Stand: 2K80,http://www.hanson-springs.co.uk/,441706510635,mailto:sales@hanson-springs.co.uk,https://www.linkedin.com/company/hanson-springs-ltd,Gorrells Way Rochdale Lancashire
104,Harland & Wolff,"Building on 160 years of marine manufacturing experience, Harland & Wolff offers a unique combination of vast facilities and technical capability. From initial consultancy through detailed engineering, fabrication and through-life support, Harland & Wolff is perfectly positioned to support the needs of the offshore and maritime industries. Harland & Wolff operates in sectors such as; Defence, Commercial, Oil & Gas, Cruise & Ferry and Renewables. We offer technical services including; Fabrication & Construction, Repair & Maintenance, In service support, Conversion and Decommissioning",Stand: 1S31,https://www.harland-wolff.com/,+44 (0)28 9045 8456,mailto:info@harland-wolff.com,https://www.linkedin.com/company/harlandwolff,8th Floor Northern & Shell Building
105,Hayward Tyler,No Data,Stand: 1V10,No Data,No data,No Data,No Data,1 Kimpton Road
106,HB Bearings,"See a range of our high precision bespoke bearings manufactured in the UK at low volume. Our in-house design department who have the experience, knowledge and technical information and advice.",Stand: 1P20,http://www.hb-bearings.com/,441484665116,mailto:sales@hb-bearings.com,No Data,Riverside Works
107,Heico Fasteners UK Ltd,"The HEICO Group are experts in bolt fastening technology with our HEICO-TEC® Tension Nut making large bolt tensioning simpler, faster and more economical and the HEICO-LOCK® Wedge Locking Washer providing superior anti-vibration bolt security. Both products use tension instead of friction to counter the bolt loosening factors of vibration and dynamic loads to maintain the all-important preload of your bolted joint and maintain bolt security. With over 100 years of fastening experience HEICO have the expertise to provide unique solutions to your bolted joint demands.",Stand: 3G02,http://www.heico-lock.co.uk/,441268745421,mailto:sales@heico-fasteners.co.uk,https://www.linkedin.com/company/heico-group/,6 Eldon Way
108,Hexagon Manufacturing Intelligence,No Data,Stand: 1N43,No Data,No data,No Data,No Data,Metrology House
109,HIBER,"HiberHilo makes monitoring wells in the most remote parts of the world safer, cheaper, and easier -and crucially helps to reduce the environmental impact of oil and gas operations.",Stand: 2M69,https://hiber.global/,+31 20 2440 420,mailto:info@hiber.global,http://www.linkedin.com/company/hiber-global/,Moermanskkade 600
110,Hilman Rollers,"Ranging in size from small machinery to entire bridges, buildings and offshore oil rigs; Hilman Rollers have moved some of the largest objects in the world.",Stand: 1N22,http://www.hilmanrollers.com/,17324626277,mailto:sreidy@hilmanrollers.com,No Data,12 Timber Ln
111,HIMA Paul Hildebrandt GmbH,"HIMA represents safety made in Germany. As a leading independent specialist in safety solutions, we share all the expertise we have gained over the decades, so that you can rely on your plants.",Stand: 3C65,https://www.hima.com/,+49 6202 709-0,mailto:info@hima.com,https://www.linkedin.com/company/hima?trk=cp_followed_name_hima,Albert-Bassermann-Straße 28
112,Hodge Clemco Ltd,"Founded in 1959, Hodge Clemco is the market leading the supply and manufacture of abrasive blast cleaning machines, surface preparation equipment and abrasives.",Stand: 1M24,https://www.hodgeclemco.co.uk/,0114 254 0600,mailto:sales@hodgeclemco.co.uk,https://www.linkedin.com/company/hodge-clemco-limited,36 Orgreave Drive
113,Quaker Houghton,"Quaker Houghton provides speciality hydraulic and control fluid solutions for applications in Offshore drilling & subsea production. Our Stack Magic, Houghto-Safe, Aqualink and Rust Veto products are widely recognized as industry standards.",Stand: 2G82,https://home.quakerhoughton.com/offshore/,441618745000,mailto:paul.smith@quakerhoughton.com,https://www.linkedin.com/company/quakerhoughton/,Beacon Road
114,Hubbell Harsh & Hazardous,"The seven individual companies within the Harsh & Hazardous group combine market leading brands into a single Hubbell solution. For Lighting, Telecommunications, Control Stations and more that cover a range of international installation codes, ranging from IEC through to NEC choose Hubbell Harsh & Hazardous.",Stand: 3G70,http://www.harshandhazardous.com/,No data,mailto:jhastings@hubbell.com,No Data,PO Box 5571
115,"Huizhou Xieneng Technology Co.,Ltd",No Data,Stand: 3H55,No Data,No data,No Data,No Data,"SEVA industrial Park,Pingtan Town,Huiyang District;"
116,Hydac Tech Ltd,"Your competent partner for all projects requiring fluid technology in connection with hydraulics, electronics and engineering, worldwide.",Stand: 3G58,http://www.hydac.co.uk/,441993 866 366,mailto:info@hydac.co.uk,https://www.linkedin.com/company/hydac-uk/?viewAsMember=true,"De Havilland Way, Windrush Park"
117,Pryme Group Ltd,"We are a leading manufacturing group with over 50 years’ experience in providing bespoke, cutting-edge products, solutions and services to clients around the globe. Our recent merger with Caley Ocean Systems and IMES International has positioned us at the forefront of the energy transition, where we are primed to support our customers on their journey to net zero. Drawing on product engineering expertise, design innovation, industry experience and reliable, end-to-end project management, at Pryme Group we work to deliver on time every time, through a turnkey process tailored to your needs.",Stand: 3C80,https://www.prymegroup.co.uk/,01914130000,mailto:amy.mcguinness@prymegroup.co.uk,https://www.linkedin.com/company/17949682/admin/,Stuart Road
118,Hydromea,"An emerging leader in high-speed wireless underwater communication and portable robotics, Hydromea automates submerged asset inspections with a unique drone platform and portable components, reducing the carbon footprint, cost and safety risks associated with the existing technologies.",Stand: 2F65,https://hydromea.com/,No data,mailto:info@hydromea.com,https://www.linkedin.com/company/hydromea,Batiment C EPFL Innovation Park
119,Hystat Systems Ltd,"HYSTAT specialise in the design, manufacture and repair of Heavy Duty Hydraulic and Pneumatic Cylinders, Accumulators and Rotary Actuators.",Stand: 2D88,http://www.hystat.co.uk/,441484845740,mailto:chris.watson@hystat.co.uk,No Data,Spa Fields Industrial Estate
120,HYTORC Industrial Bolting Systems,"HYTORC provides solutions and technical expertise that ensures more efficient, reliable, and safe bolting operations for oil and gas companies. Visit our stand and take part in live demonstrations.",Stand: 1T38,https://www.hytorc.com/uk,+44 (0)1670 363800,mailto:info@hytorc.co.uk,https://www.linkedin.com/company/hytorc-united-kingdomunited-kingdom,Unit 25
121,IDENTEC SOLUTIONS AG,"IDENTEC SOLUTIONS is a global provider of wireless solutions to improve efficiency, safety and security in harsh industries such as Oil&Gas, Marine&Ports, Mining and Smart Factory. Based in Austria with offices in Australia, USA, Norway, Germany, UK.",Stand: 1X39,https://www.identecsolutions.com/,43557787387,mailto:mbuzinkay@identecsolutions.com,https://www.linkedin.com/company/identec-solutions/,"Millenium Park 2,"
122,Igus (UK) Ltd,igus® is the largest producer of injection moulded polymer bearings and reinforced plastic cable carriers in the world. Heavy-duty maintenance-free energy chain systems from igus® are highly effective in the toughest of environmental conditions.,Stand: 1K38,http://www.igus.co.uk/,441604677240,mailto:sales@igus.co.uk,https://www.linkedin.com/company/igus-uk,51A Caswell Road
123,Independent Forgings and Alloys Ltd,"We are the only forge in the world to have open die GFM rotary forge, Heavy Press, Hammers, Ring Rolling Mills and closed die Drop Stamp Hammers, Hydraulic Press and Precision Blade forging on a single site, fully integrated with material stockholding, sawing, heat treatment, NDT inspection, CNC machining, metallurgical & mechanical testing and global delivery. Products manufactured range from bars, rings, blanks, boss blanks, planks, blocks, squares and bespoke near net shaped forgings produced to demanding structure, grain flow and property specifications.",Stand: 1S50,https://independentforgings.com/,+44 (0)114 234 3000,mailto:sales@independentforgings.com,https://www.linkedin.com/company/independent-forgings-and-alloys-ltd,Victoria Forge
124,IOT Group,"The IOT Group is an internationally recognized rental and supply company serving the oil, gas, salt, water/geothermal and HDD-drilling industry. Our main activities are sales, rental and servicing of OCTG, Drilling Equipment, Pressure Control Equipment, Wellhead Equipment, Handling Tools and related accessories used in the drilling and production industry world wide.",Stand: 1W50,https://iotgroup.com/,+31725333222,mailto:infonl@iotgroup.com,https://www.linkedin.com/company/iot-dosco-b-v-/,Sir William
125,IPI Packers,The IPI Packers exhibition stand at SPE Offshore Europe 2022 provides an authentic demonstration of the fundamental design characteristics of our distinctly different inflatable packer technology and showcases a solutions-based portfolio tailored for the following decommissioning challenges. • Milled-Window Abandonment • Barrier-Verification Testing • Thru-Tubing Workover and Zonal Abandonment • Heavy-Duty Anchoring for Conductor Recovery • Suction Bucket Jacket Removal,Stand: 3A24,No Data,No data,No Data,No Data,1 Pitino Ct
126,Inov8s,"Inov8 Systems provides an industry leading range of online oil in water analysers. By combining and refining various techniques such as laser-induced fluorescence, Spectrometry and ultrasonic cleaning Inov8 can offer the most innovative products available.",Stand: 3B14,https://www.inov8s.com/,+44 2893 361886,mailto:sales@inov8s.com,https://www.linkedin.com/company/inov8-systems-limited/mycompany/,8 Meadowbank Road
127,Inspectahire,No Data,Stand: 2L84,http://www.inspectahire.com./,+441224789692,mailto:enquiries@inspectahire.com,No Data,"Badentoy Road, Badentoy Industrial Estate"
128,Intervention Rentals UK Ltd,No Data,Stand: 2K88,No Data,No data,No Data,No Data,Corrosion Centre
129,JDR Cable Systems Ltd,"JDR Cable System’s world-leading solutions bring power and control to energy systems in the global offshore oil, gas and renewable industries. In designing, manufacturing, delivering, installing and supporting subsea power cables and umbilical systems, our engineers and manufacturers are committed to providing products and services of the highest quality.",Stand: 3H80,https://www.jdrcables.com/,+44 (0) 1353 860 022,mailto:sales@jdrcables.com,https://www.linkedin.com/company/jdr-cable-systems,J D R Cables Sysytems Ltd
130,John Lawrie (Metals) Limited,Find out exactly what happens to the surplus / pulled pipe and waste metal recovered from oil and gas decommissioning projects as John Lawrie drives towards a circular economy and net zero targets.,Stand: 3B20,https://www.johnlawrie.com/,441224871844,mailto:info@johnlawrie.com,https://www.linkedin.com/company/john-lawrie-group,712 Fall River Ave Unit B
131,John Mayes Engineers Ltd,No Data,Stand: 2C86,No Data,No data,No Data,No Data,13 Roman Way
132,Johnson controls,"Johnson Controls has unrivalled experience in providing complete life safety and asset integrity services to the oil and gas industry worldwide. We have been passionately committed to protecting life, assets and the environment for more than 120 years. We help protect 90% of the world’s top fifty marine and oil and gas companies for all types of assets and facilities. From fixed platforms, FPSO’s, semi-submersible platforms, semi-sub drillers, drill ships, cargo vessels, oil tankers, platform supply vessels to terminals and refineries around the world.",Stand: 1S39,https://www.johnsoncontrols.com/oil-and-gas,07971826428,mailto:claire.jamieson@jci.com,No Data,4 Kilmartin Place
133,KAEFER UK & Ireland,"KAEFER in the UK & Ireland serves a large and growing range of industries with asset integrity services. These services include access solutions, insulation, inspection & testing, protective coatings, asbestos management and more - generating an annual turnover of c.£250 Million. The company currently has eight operating centers across the UK and Ireland, employing approximately 3,000 highly skilled and experienced people.",Stand: 3B52,https://www.kaeferltd.co.uk/,01914287200,mailto:infouk@kaefer.com,https://www.linkedin.com/company/kaeferuki/,4 International Base
134,KED-Seals Ltd,"KED-Seals is a materials technology company specialising in the design and supply of high performance Seals, Electrical Connectors, moulded and machined Elastomers and machined Thermoplastic products",Stand: 1L31,https://www.dichtungen-o-ringe.de/,+447961078750,mailto:igravill@ked-seals.com,No Data,7 Mill Road
135,KELLER Pressure Sensors,"A Swiss pressure sensor manufacturer – offering a lower cost alternative to Quartz pressure sensors, with comparable performance of 0.01%FS precision. Pressure ranges from 5mbar up to 2000bar, corrosion resistant materials, digital or analogue outputs, -40°C... 200°C. ISO 9001 certified. Modern advanced production techniques enable KELLER to offer competitive pricing for medium and high volume production orders. Market leaders in OEM pressure sensors, we have modular designs that can easily be adapted to your requirements at little or no extra cost. Pressure Measurement... Our Business.",Stand: 3A58,https://keller-druck.com/en,+44 1305 239 260,mailto:sales@keller-pressure.co.uk,https://www.linkedin.com/company/keller-ag-f%C3%BCr-druckmesstechnik,"Little Keep Gate,"
136,Kelvin TOP-SET,"Learn to investigate incidents, solve problems and improve performance using a simple, logical and practical investigation system - Kelvin TOP-SET.",Stand: 3D09,http://www.kelvintopset.com/,441475560007,mailto:kerry.wilson@kelvintopset.com,https://www.linkedin.com/company/kelvintopset/,Annickbank Campus
137,Kent,No Data,Stand: 3D80,No Data,No data,No Data,No Data,"Kirkgate House, Upperkirkgate,"
138,Olympus,Are you looking for solution to ensure the safe and reliable operation of power generation facilities? Visit Olympus and figure out how our NDT and remote visual inspection technologies can help you.,Stand: 1R20,http://www.olympus-ims.com/,+44 1702 616 333,mailto:MariaVictoria.Sabella@Olympus.com,http://www.linkedin.com/company/Olympus-IMS,Keymed House
139,Klinger Ltd,No Data,Stand: 3B62,No Data,No data,No Data,No Data,Euroway Trading Estate
140,Koso KentIntrol Limited,"As experienced UK valve manufacturers from 1967, we’ve built a reputation for providing high-performance products that can be found right across the globe and are backed by first-class technical expertise and professional aftersales service for the oil & gas sector as well as the green energy sector. Maintaining the highest standards of quality throughout design, production and customer service Koso Kent Introl Limited specializes in the supply of severe service choke and process control valves & high-performance rotary valves.",Stand: 1V14,https://kentintrol.com/,+44 (0) 1484 710311,mailto:info@kentintrol.com,https://www.linkedin.com/company/koso-kent-introl-ltd/,Koso KentIntrol Limited
141,Kpl Kishorn Port Ltd,No Data,Stand: 3D95,No Data,No data,No Data,No Data,"Kishorn Port Ltd,"
142,Lamond & Murray Ltd,"Lamond & Murray Ltd is one of the country’s leading sub-contract gear manufacturers, supplying machine cut gears, up to 2.5 metres in diameter and ground gears up to 1.5 metres in diameter. The company was established in 1919, to manufacture machinery for the mining industry. Since the 1940s, however, the company has specialised in gear manufacture and has continually invested in plant and machinery and in the extension and improvement of its offices and workshop.",Stand: 2M20,http://www.lamondandmurray.co.uk/,01383 413541,mailto:gears@lamondandmurray.co.uk,No Data,BURNSIDE
143,Langley Alloys,"Langley Alloys are a distributor of high-performance corrosion resistant alloys, with a world-leading expertise in duplex and super duplex stainless steels, nickel and copper alloys. We currently operate from warehouses in the United Kingdom and the United States, with extensive stocks of these grades in bars, plates, pipes and fittings. We also offer a complete service of in-house testing, inspection, cutting and machining. Langley Alloys are a distribution partner of Sandvik and voestalpine BÖHLER Edelstahl.",Stand: 1P31,http://www.langleyalloys.com/,441782610250,mailto:sales@langleyalloys.com,https://www.linkedin.com/company/langley-alloys-ltd/,The Wharf
144,Layher Ltd,Visit our stand to get hands on with our product and chat with our highly skilled team of design engineers and salespeople. We will be showcasing our latest products including Flexbeam & AGS.,Stand: 2J20,https://www.layher.co.uk/,01506440220,mailto:info@layher.co.uk,https://www.linkedin.com/company/layher-ltd,3 Letham Road
145,SEQual,"SEQual is an industry-owned supplier qualification service, operated on a not-for-profit basis. The service enables Buyers to source accredited contractors, ensuring supply chain compliance and procurement efficiency. Suppliers are visible to a range of potential customers, and by submitting their information just once, they fulfil the prequalification requirements of all Buyers.",Stand: 3D93,https://sequal.co.uk/,0800 756 9904,mailto:info@sequal.co.uk,https://www.linkedin.com/company/sequal,"4th Floor, Annan House, 33-35 Palmerston Road"
146,Lee Products Ltd,"Since 1948, we have pioneered the development of miniature, precision fluid control components for use throughout industry. Markets served include aerospace, down-hole oil tools, machine tools.",Stand: 3E05,http://www.theleeco.com/,441753886664,mailto:mikestott@leeproducts.co.uk,https://www.linkedin.com/company/the-lee-company/mycompany/,3 High Street
147,Lee Spring Limited,"Lee Spring is the UK supplier of choice for catalogued and custom springs, including compression springs, torsion springs, constant force springs, die springs, belleville spring washers, wave springs, extension springs, battery springs and numerous speciality springs. Materials include steel, stainless steel, cobalt/nickel alloy, bronze, brass, music wire and composite plastics. In addition, Lee Spring offer extensive custom design and manufacture services for one-off/prototypes or ongoing production requirements.",Stand: 3B91,https://www.leespring.co.uk/,+44 (0) 118 978 1800,mailto:sales@leespring.co.uk,No Data,Latimer Road
148,Leica Geosystems Ltd,No Data,Stand: 1P41,No Data,No data,No Data,No Data,Hexagon House
149,Lerwick Port Authority,"Receive insights into a leading UK deep-water decommissioning centre and subsea projects, hear about a game changing Ultra-Deep-Water Quay; offshore windfarms support; and Shetland's Energy Hub.",Stand: 3G30,https://www.lerwick-harbour.co.uk/,44441595692991,mailto:info@lerwick-harbour.co.uk,No Data,Albert Building
150,Liebherr,"At Offshore Europe 2022 the Liebherr Group is presenting 2 divisions: Maritime Cranes and Mixing Technology. Liebherr Maritime Cranes is specialised in cargo handling solutions for ports as well as for the shipping and offshore industry. Offshore cranes from Liebherr on fixed or floating installations are designed for the construction and maintenance of offshore wind parks, for lifting processes on oil and gas platforms as well as for deep-sea operations. The cranes can be equipped with LiMain, an intelligent maintenance system.",Stand: 3B32,No Data,No data,No Data,https://www.linkedin.com/company/liebherr-maritime-cranes/posts/?feedView=all,Stratton Business Park
151,LOAD MONITORING SYSTEMS LTD,"Based in Aberdeen Scotland, Load Monitoring Systems (LMS) specialise in the design and manufacturing of load monitoring equipment and provide sales, rentals, and repair services. LMS has a proven track record developing a range of products and services tailored around our customer requirements and continues to build the business and extend its offering with increased rental stock, larger capacity equipment and by providing a ‘FAST-TRACK’ repair and calibration service, specifically created to support customers where turnaround time frames are critical.",Stand: 2F21,https://www.loadmonitoringsystems.com/,01224 446100,mailto:LMS@LoadMonitoringSystems.com,No Data,"14 Silverburn Place, Bridge of Don"
152,Lokring Northern (UK),"Lokring supplies the only butt weld equivalent mechanical fitting for pipe and tube. A Lokring connection uses an entirely cold work process that provides the same integrity as a weld, along with a faster, safer and more cost effective installation.",Stand: 3B60,https://www.lokring.com/,+44 (0) 1224 878877,mailto:rmillar@lokring.com,http://uk.linkedin/company/lokring-northern,Unit 5
153,LoneStar Fasteners Europe Ltd,"LoneStar Fasteners Europe is one of the worlds leading manufacturers of High Integrity Fasteners, Petrochemical Bolting and Machined Parts to the critical industry sectors. LoneStar Fasteners is fully engaged with industries that demand not only high performance and reliability but also availability of product on short and critical lead times, from a wide variety of material specifications. LoneStar Fasteners can demonstrate a manufacturing capability that extends from small batch prototyping, right through to full production quantities and project supply.",Stand: 1U24,https://www.lsfe.com/,0121 435 0009,mailto:sales@lsfe.com,https://www.linkedin.com/company/lonestar-fasteners-europe,Universal Point
154,Long Technology Limited,"Long Technology Limited designs and supplies innovative, engineered spring solutions for surface, sub-surface and down-hole applications. A 35 year partnership with Mubea combines oil industry knowledge, proven manufacturing quality and an unrivaled level of service.",Stand: 3F04,http://www.longtechnology.com/,441466705201,mailto:sales@longtechnology.com,No Data,Unit 13 Steven Road Industrial Estate
155,Louisiana Economic Development,"In the U.S., Louisiana is ranked #2 in crude oil production, #3 for natural gas production and 80% of all offshore U.S. oil rigs are in the waters off Louisiana’s coast. The LED booth will also have allies who are poised to share their opportunities for business.",Stand: 1X40,https://www.opportunitylouisiana.com/,225.342.2537,mailto:Jessica.Steverson@la.gov,https://www.linkedin.com/company/louisiana-economic-development,PO Box 94185
156,LV Logistics,No Data,Stand: 1U30,No Data,No data,No Data,No Data,"Unit 107, Shore Road"
157,Mactech Europe Ltd,"Mactech Europe can demonstrate years of hands-on experience across the petrochemical, refining, power generation, LNG, offshore, subsea, shipbuilding, industrial maintenance, and installation market sectors. In addition to manufacturing a complete range of leading decommissioning and pipe preparation machines, Mactech Europe also distributes tools and equipment from other recognised industry brands.",Stand: 1R40,http://mactecheurope.co.uk/,+ 44 (0) 1260 281431,mailto:info@mactecheurope.co.uk,https://www.linkedin.com/company/2795262/admin/,"Mactech House,"
158,Maher Limited,"We stock high-strength, high-performance alloys including 718, 625, 725, 400, K500, 286 and DEF STAN 833. Our in-house services include cutting, first stage machining such as turning and boring, precision machining, heat treatment & NDT.",Stand: 1Q20,http://www.maher.com/,441142909214,mailto:info@maher.com,https://www.linkedin.com/company/maher-ltd/,2 Brightside Way
159,Marex Marine and Risk Consultancy,Marex is a risk & marine consultancy with a strong reputation within the oil & gas sector. Now providing services within the renewable energy market. Marex is considered the market leader for the compilation of HSE cases and risk assessment services.,Stand: 1X47,http://www.mmass.co.uk/,441224894498,mailto:marex@mmass.co.uk,https://www.linkedin.com/company/marex-marine-and-risk-consultancy/,"Centurion Court, North Esplanade West,"
